Theta,Phi,Sigma1,Sigma2,Shear,VM,Shear1,Error
78,74,15917.06411,1747.009067,1486.914563,36408.7058,18216.46622,
78,76,14093.47714,1627.174406,1046.067711,38674.94458,19412.0897,
78,78,14259.70427,2044.463325,1017.143178,43938.04671,21718.24921,
78,80,17223.58884,1641.668345,928.5905134,35201.29433,17555.34897,
78,82,12281.83055,1337.886943,191.5202963,34265.82534,17039.49813,
78,84,12803.14378,1539.196475,282.5848441,30887.22492,15484.70857,
78,86,10629.8283,1324.322038,21.19446987,23429.58037,11726.35158,
78,88,12241.19772,1302.63919,16.4632429,25472.95388,12737.44953,
78,90,7237.31243,1145.597275,10.14315851,22662.18505,11312.67207,
80,60,63147.48196,4337.368181,11110.05705,121268.0353,60532.23305,
80,62,47658.65029,3780.308929,5585.39974,96119.57014,47378.22843,
80,64,37041.25919,4526.672511,4693.176981,103326.6495,50898.73019,
80,66,33551.6706,2789.413283,4405.948455,85365.20745,42486.34068,
80,68,22594.82952,2579.300604,2975.628087,58747.56949,29456.40584,
80,70,21467.60735,2259.747443,2243.532701,47517.00184,23627.86084,
80,72,21705.09638,2333.46922,1739.100438,61456.52234,30525.74321,
80,74,19950.17106,2037.809888,1566.929665,58482.54017,29026.27765,
80,76,16877.99174,1847.982655,765.3973144,39798.37902,19780.55519,
80,78,13890.52469,1806.568334,604.8966189,38904.90952,19342.71247,
80,80,16248.04585,1815.512397,704.8916369,37926.32079,18903.1389,
80,82,14707.08981,1613.208656,306.0499489,36042.24389,17850.40932,
80,84,11473.56012,1539.217911,110.1780556,28071.58116,14016.87999,
80,86,9588.12145,1513.704508,72.16316267,19942.89539,9946.373263,
80,88,11188.4799,1749.857693,17.26348611,26674.94399,13328.11316,
80,90,10942.74951,1528.625512,-20.29581099,23985.1142,12055.95642,
82,60,65663.93394,4676.121424,7474.211687,116589.319,58382.16859,
82,62,64005.07894,4381.526588,5809.025762,118457.4255,58417.56381,
82,64,44122.46075,3896.614451,4561.522512,95728.63722,47533.62503,
82,66,41565.54863,3869.849052,3865.199158,83170.71432,40867.43852,
82,68,31431.4945,2765.458503,3465.824687,70893.53962,34865.76178,
82,70,23569.08006,2646.595322,1522.476099,48548.28486,24143.30191,
82,72,23281.81259,2809.275127,1687.499484,49355.1621,24528.84226,
82,74,23392.04722,2886.015116,1853.008672,43213.1848,21453.48937,
82,76,20692.40354,2694.977049,993.2892447,56734.8833,28185.93642,
