E1,E2,G12,theta,phi,max_sigma1,max_sigma2,max_shear,max_vm,max_shear1,ux,uy
130000000000.0,10000000000.0,4000000000.0,62.30780058054805,87.67741516301052,nan,nan,nan,nan,nan,nan,nan
130000000000.0,10000000000.0,6000000000.0,64.60355398892148,60.286175531473916,1085441.5112612331,278686.21629746596,266781.9426575119,1660518.2230999907,824695.6176069439,0.0020460859425239764,1.1981219456525974e-05
130000000000.0,10000000000.0,8000000000.0,63.310783798514414,86.38272040750383,235916.08178490293,65518.87414833787,6233.483944135689,989233.4081007555,468190.50251122296,0.0005432558083780807,-4.6195627854950716e-08
155000000000.0,10000000000.0,4000000000.0,69.2927931787532,88.77327287898198,297039.3100715942,48303.71519877881,2230.6599158284516,1208213.193630806,575102.3930001827,0.0006473734674803648,-5.26059887525855e-08
155000000000.0,10000000000.0,6000000000.0,63.006569238735395,68.6366477717081,595702.2988757349,155744.92765934533,106683.32855621038,1405514.2514813116,665121.2505731662,0.0009749300369772591,-5.351712996257081e-08
155000000000.0,10000000000.0,8000000000.0,63.30269011509577,86.34624584268578,209144.6305322717,57585.81344363543,6890.519711792382,1035600.3282859601,490328.9516004857,0.00045028369083075295,-4.616288672236751e-08
180000000000.0,10000000000.0,4000000000.0,69.04603605701806,89.61787534353735,251102.5667590631,46954.86607211185,415.3660031678446,1190582.7686077948,566807.2063106762,0.0004979294876414431,-4.985527648964632e-08
180000000000.0,10000000000.0,6000000000.0,63.43255527172366,87.1825241158725,196185.36154870962,51218.44075351712,5218.9315399150655,1028024.6756734231,487710.11522166117,0.00036539267592835493,-5.213380276377834e-08
180000000000.0,10000000000.0,8000000000.0,60.51561071655463,79.48315109966207,246079.42738632634,78136.53742347751,26904.800709442905,1107622.6027423898,524446.9137049929,0.0004128942918597213,-4.9024035450799257e-08
205000000000.0,10000000000.0,4000000000.0,60.0072798594287,83.01088650035325,172485.5410539523,57259.93733656779,15142.778971435153,913163.447424077,431096.37305488414,0.00029595857732965004,-4.5037631823430157e-08
205000000000.0,10000000000.0,6000000000.0,61.19735199442546,80.56755407709171,246904.75892490943,81079.70041342011,23029.33522505191,1184877.2738877286,562341.9266425997,0.00037947481865471117,-4.52031312547246e-08
205000000000.0,10000000000.0,8000000000.0,64.91277489091894,64.91069236954397,832111.3466917776,188151.70331318193,189176.22188078507,1949741.691712974,924253.6061840933,0.001060929708590304,6.516083598241697e-07
230000000000.0,10000000000.0,4000000000.0,62.486552930041086,62.38467005215786,811610.0896037084,219490.26138374023,170572.98099927435,2026733.684026582,963768.5202274264,0.0010130589318869346,-4.562626431212856e-08
230000000000.0,10000000000.0,6000000000.0,64.04415885640428,89.34537042168725,178116.00940528745,44517.101758103585,603.2708976435024,1098951.9214151297,521299.8558225543,0.00027490682817003353,-4.493575720401145e-08
230000000000.0,10000000000.0,8000000000.0,69.28685644333726,88.76680043095587,273322.17971052736,58516.30411776637,2309.346924387035,1317588.7202822382,624307.7359763862,0.0004408997269214141,-3.9818716830776555e-08
