E1,E2,G12,theta,phi,max_sigma1,max_sigma2,max_shear,max_vm,max_shear1,ux,uy,,E1,E2,G12,theta,phi,max_sigma1,max_sigma2,max_shear,max_vm,max_shear1,ux,uy,,E1,E2,G12,theta,phi,max_vm,max_shear1,ux,uy
2.3E+11,7500000000,6000000000,64.91678248,60.22725892,1161427.516,252418.6959,278581.4725,2453943.079,1163132.554,0.001256954,8.20E-05,,1.3E+11,10000000000,6000000000,64.60355399,60.28617553,1085441.511,278686.2163,266781.9427,1660518.223,824695.6176,0.002046086,1.19812E-05,,,,,,,,,,
2.3E+11,7500000000,8000000000,64.93856018,71.27669027,543311.1295,121031.3884,94532.41499,1876139.679,889999.0856,0.000681426,-5.66E-08,,1.3E+11,7500000000,8000000000,61.58312196,61.57893022,835554.4311,250138.0862,219327.4951,1690456.2,798205.5518,0.001472549,1.26418E-05,,,,,,,,,,
1.3E+11,10000000000,4000000000,62.30780058,87.67741516,nan,nan,nan,nan,nan,nan,nan,,2.3E+11,5000000000,8000000000,69.08467572,89.62793581,311851.0689,74196.8324,561.4524436,1707367.596,807923.0708,0.000415671,-6.76067E-08,,,,,,,,,,
1.3E+11,10000000000,6000000000,64.60355399,60.28617553,1085441.511,278686.2163,266781.9427,1660518.223,824695.6176,0.002046086,1.20E-05,,1.3E+11,5000000000,6000000000,63.42425661,68.37473811,573469.1465,140450.3753,123305.977,1803735.143,853598.4714,0.001204302,-6.70513E-08,,,,,,,,,,
1.3E+11,10000000000,8000000000,63.3107838,86.38272041,235916.0818,65518.87415,6233.483944,989233.4081,468190.5025,0.000543256,-4.62E-08,,2.3E+11,7500000000,8000000000,64.93856018,71.27669027,543311.1295,121031.3884,94532.41499,1876139.679,889999.0856,0.000681426,-5.65969E-08,,,,,,,,,,
1.55E+11,10000000000,4000000000,69.29279318,88.77327288,297039.3101,48303.7152,2230.659916,1208213.194,575102.393,0.000647373,-5.26E-08,,2.05E+11,10000000000,8000000000,64.91277489,64.91069237,832111.3467,188151.7033,189176.2219,1949741.692,924253.6062,0.00106093,6.51608E-07,,,,,,,,,,
1.55E+11,10000000000,6000000000,63.00656924,68.63664777,595702.2989,155744.9277,106683.3286,1405514.251,665121.2506,0.00097493,-5.35E-08,,2.3E+11,10000000000,4000000000,62.48655293,62.38467005,811610.0896,219490.2614,170572.981,2026733.684,963768.5202,0.001013059,-4.56263E-08,,,,,,,,,,
1.55E+11,10000000000,8000000000,63.30269012,86.34624584,209144.6305,57585.81344,6890.519712,1035600.328,490328.9516,0.000450284,-4.62E-08,,1.3E+11,5000000000,4000000000,61.80119325,62.22753535,795597.6208,216580.6834,166597.8704,2030840.084,962889.0642,0.001609435,1.79902E-05,,,,,,,,,,
1.8E+11,10000000000,4000000000,69.04603606,89.61787534,251102.5668,46954.86607,415.3660032,1190582.769,566807.2063,0.000497929,-4.99E-08,,1.55E+11,5000000000,6000000000,61.96749728,62.20780016,921158.4987,275972.2548,183835.3545,2123726.292,1004728.514,0.001313496,4.98573E-05,,,,,,,,,,
1.8E+11,10000000000,6000000000,63.43255527,87.18252412,196185.3615,51218.44075,5218.93154,1028024.676,487710.1152,0.000365393,-5.21E-08,,1.55E+11,5000000000,8000000000,65.41150606,67.46121427,719667.603,150631.3147,148337.0996,2145131.097,1014177.65,0.001196632,8.14935E-06,,,,,,,,,,
1.8E+11,10000000000,8000000000,60.51561072,79.4831511,246079.4274,78136.53742,26904.80071,1107622.603,524446.9137,0.000412894,-4.90E-08,,1.8E+11,5000000000,6000000000,60.97436848,62.33625853,693944.5715,221815.2934,216232.9714,2148740.364,1016648.461,0.001048472,4.21758E-05,,,,,,,,,,
2.05E+11,10000000000,4000000000,60.00727986,83.0108865,172485.5411,57259.93734,15142.77897,913163.4474,431096.3731,0.000295959,-4.50E-08,,2.05E+11,5000000000,4000000000,65.18613094,65.20568077,802372.6929,190611.6064,195518.476,2355928.35,1117386.438,0.001151791,1.82326E-05,,,,,,,,,,
2.05E+11,10000000000,6000000000,61.19735199,80.56755408,246904.7589,81079.70041,23029.33523,1184877.274,562341.9266,0.000379475,-4.52E-08,,2.05E+11,5000000000,6000000000,65.04388,65.02567257,878191.8393,192484.5249,181093.966,2391823.664,1132466.395,0.001092416,4.54751E-05,,,,,,,,,,
2.05E+11,10000000000,8000000000,64.91277489,64.91069237,832111.3467,188151.7033,189176.2219,1949741.692,924253.6062,0.00106093,6.52E-07,,2.3E+11,7500000000,6000000000,64.91678248,60.22725892,1161427.516,252418.6959,278581.4725,2453943.079,1163132.554,0.001256954,8.19703E-05,,,,,,,,,,
2.3E+11,10000000000,4000000000,62.48655293,62.38467005,811610.0896,219490.2614,170572.981,2026733.684,963768.5202,0.001013059,-4.56E-08,,1.8E+11,5000000000,8000000000,62.94941286,88.46622587,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,
2.3E+11,10000000000,6000000000,64.04415886,89.34537042,178116.0094,44517.10176,603.2708976,1098951.921,521299.8558,0.000274907,-4.49E-08,,2.05E+11,5000000000,8000000000,60.9320021,85.47474879,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,
2.3E+11,10000000000,8000000000,69.28685644,88.76680043,273322.1797,58516.30412,2309.346924,1317588.72,624307.736,0.0004409,-3.98E-08,,1.3E+11,10000000000,4000000000,62.30780058,87.67741516,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,
